"country";"year";"sp";"cct";"lpi";"ncp"
"Antigua & Barbuda";"1993";"1";"0";"0";"1"
"Antigua & Barbuda";"2009";"1";"0";"0";"1"
"Argentina";"1948";"1";"0";"0";"1"
"Argentina";"2002";"0";"1";"0";"1"
"Argentina";"2003";"0";"0";"3";"3"
"Argentina";"2005";"0";"2";"0";"2"
"Argentina";"2006";"0";"0";"2";"2"
"Argentina";"2007";"0";"0";"1";"1"
"Argentina";"2008";"0";"0";"1";"1"
"Argentina";"2009";"0";"1";"2";"3"
"Argentina";"2014";"0";"0";"2";"2"
"Argentina";"2015";"0";"0";"1";"1"
"Argentina";"2016";"1";"0";"0";"1"
"Argentina";"2017";"0";"0";"2";"2"
"Argentina";"2018";"0";"0";"1";"1"
"Argentina";"2020";"0";"0";"1";"1"
"Argentina";"2021";"0";"0";"1";"1"
"Argentina";"2022";"0";"0";"1";"1"
"Bahamas";"1972";"2";"0";"0";"2"
"Barbados";"1982";"1";"0";"0";"1"
"Belize";"2003";"1";"0";"0";"1"
"Belize";"2011";"0";"1";"0";"1"
"Bermuda";"1970";"1";"0";"0";"1"
"Bolivia";"1997";"1";"0";"0";"1"
"Bolivia";"2006";"0";"1";"0";"1"
"Bolivia";"2008";"1";"0";"1";"2"
"Bolivia";"2009";"0";"1";"0";"1"
"Bolivia";"2012";"0";"0";"1";"1"
"Bolivia";"2013";"1";"0";"2";"3"
"Bolivia";"2017";"0";"0";"2";"2"
"Bolivia";"2018";"1";"0";"1";"2"
"Brazil";"1993";"1";"0";"1";"2"
"Brazil";"1996";"1";"1";"0";"2"
"Brazil";"2001";"0";"2";"0";"2"
"Brazil";"2003";"0";"2";"1";"3"
"Brazil";"2005";"0";"0";"2";"2"
"Brazil";"2007";"0";"0";"1";"1"
"Brazil";"2011";"0";"1";"2";"3"
"Brazil";"2012";"0";"0";"2";"2"
"Brazil";"2017";"0";"0";"1";"1"
"Brazil";"2021";"0";"1";"1";"2"
"Brazil";"2022";"0";"0";"1";"1"
"Chile";"1975";"1";"0";"0";"1"
"Chile";"1981";"0";"1";"0";"1"
"Chile";"1992";"0";"0";"1";"1"
"Chile";"1997";"0";"0";"1";"1"
"Chile";"1999";"0";"0";"1";"1"
"Chile";"2001";"0";"0";"1";"1"
"Chile";"2002";"0";"1";"2";"3"
"Chile";"2005";"0";"0";"2";"2"
"Chile";"2006";"0";"0";"2";"2"
"Chile";"2007";"0";"0";"2";"2"
"Chile";"2008";"1";"0";"1";"2"
"Chile";"2009";"0";"0";"4";"4"
"Chile";"2011";"0";"0";"1";"1"
"Chile";"2012";"0";"1";"0";"1"
"Chile";"2013";"0";"0";"1";"1"
"Chile";"2014";"0";"0";"1";"1"
"Chile";"2015";"0";"0";"3";"3"
"Chile";"2016";"0";"0";"1";"1"
"Chile";"2019";"0";"0";"2";"2"
"Chile";"2022";"1";"0";"0";"1"
"Colombia";"2000";"0";"0";"1";"1"
"Colombia";"2001";"0";"1";"1";"2"
"Colombia";"2002";"0";"0";"1";"1"
"Colombia";"2003";"1";"0";"1";"2"
"Colombia";"2005";"0";"1";"0";"1"
"Colombia";"2007";"0";"1";"1";"2"
"Colombia";"2011";"0";"0";"1";"1"
"Colombia";"2012";"1";"0";"0";"1"
"Colombia";"2015";"0";"0";"1";"1"
"Colombia";"2016";"0";"0";"2";"2"
"Colombia";"2019";"0";"0";"1";"1"
"Colombia";"2020";"0";"0";"1";"1"
"Colombia";"2021";"0";"0";"1";"1"
"Costa Rica";"1974";"1";"0";"0";"1"
"Costa Rica";"1992";"0";"0";"1";"1"
"Costa Rica";"1999";"1";"0";"0";"1"
"Costa Rica";"2000";"0";"1";"1";"2"
"Costa Rica";"2006";"0";"1";"0";"1"
"Costa Rica";"2011";"0";"0";"1";"1"
"Costa Rica";"2012";"0";"0";"1";"1"
"Costa Rica";"2015";"0";"0";"1";"1"
"Costa Rica";"2018";"0";"0";"1";"1"
"Costa Rica";"2019";"0";"1";"0";"1"
"Cuba";"1979";"1";"0";"0";"1"
"Dominican Republic";"2003";"0";"0";"1";"1"
"Dominican Republic";"2005";"0";"1";"0";"1"
"Dominican Republic";"2012";"0";"1";"0";"1"
"Dominican Republic";"2019";"1";"0";"0";"1"
"Ecuador";"1998";"0";"1";"0";"1"
"Ecuador";"2001";"0";"0";"1";"1"
"Ecuador";"2003";"1";"1";"0";"2"
"Ecuador";"2007";"0";"0";"1";"1"
"Ecuador";"2010";"1";"0";"0";"1"
"Ecuador";"2011";"0";"1";"0";"1"
"Ecuador";"2018";"0";"0";"3";"3"
"El Salvador";"2005";"0";"1";"0";"1"
"El Salvador";"2009";"1";"0";"1";"2"
"El Salvador";"2014";"0";"0";"1";"1"
"Guatemala";"2005";"1";"0";"0";"1"
"Guatemala";"2007";"0";"1";"0";"1"
"Guatemala";"2008";"0";"1";"0";"1"
"Guatemala";"2012";"0";"2";"1";"3"
"Guatemala";"2013";"0";"0";"2";"2"
"Guatemala";"2017";"0";"1";"0";"1"
"Guatemala";"2018";"0";"0";"1";"1"
"Guyana";"1994";"1";"0";"0";"1"
"Haiti";"2012";"0";"1";"0";"1"
"Haiti";"2013";"0";"0";"2";"2"
"Haiti";"2020";"0";"0";"1";"1"
"Honduras";"1990";"0";"1";"0";"1"
"Honduras";"1998";"0";"1";"0";"1"
"Honduras";"2004";"0";"0";"1";"1"
"Honduras";"2006";"0";"1";"0";"1"
"Honduras";"2010";"0";"1";"0";"1"
"Honduras";"2014";"0";"0";"2";"2"
"Jamaica";"2001";"0";"1";"0";"1"
"Jamaica";"2002";"0";"0";"1";"1"
"Jamaica";"2005";"0";"0";"1";"1"
"Jamaica";"2008";"0";"0";"1";"1"
"Mexico";"1997";"0";"1";"0";"1"
"Mexico";"1998";"0";"0";"1";"1"
"Mexico";"2000";"0";"0";"1";"1"
"Mexico";"2001";"1";"0";"1";"2"
"Mexico";"2003";"0";"0";"2";"2"
"Mexico";"2007";"1";"1";"1";"3"
"Mexico";"2008";"0";"0";"1";"1"
"Mexico";"2014";"0";"1";"1";"2"
"Mexico";"2019";"2";"1";"3";"6"
"Mexico";"2021";"0";"0";"1";"1"
"Nicaragua";"2000";"0";"1";"0";"1"
"Nicaragua";"2005";"0";"1";"0";"1"
"Nicaragua";"2007";"0";"0";"2";"2"
"Panama";"2000";"0";"0";"1";"1"
"Panama";"2005";"0";"1";"0";"1"
"Panama";"2006";"0";"1";"1";"2"
"Panama";"2007";"0";"0";"1";"1"
"Panama";"2009";"1";"0";"1";"2"
"Panama";"2013";"1";"0";"0";"1"
"Panama";"2014";"0";"0";"1";"1"
"Panama";"2015";"0";"0";"1";"1"
"Panama";"2020";"0";"1";"0";"1"
"Paraguay";"2005";"0";"2";"0";"2"
"Paraguay";"2009";"1";"0";"1";"2"
"Paraguay";"2010";"0";"0";"1";"1"
"Paraguay";"2013";"0";"0";"1";"1"
"Paraguay";"2014";"0";"0";"1";"1"
"Paraguay";"2015";"0";"0";"1";"1"
"Paraguay";"2018";"0";"0";"1";"1"
"Paraguay";"2021";"0";"0";"1";"1"
"Peru";"1992";"0";"0";"1";"1"
"Peru";"2005";"0";"1";"0";"1"
"Peru";"2006";"0";"0";"1";"1"
"Peru";"2011";"1";"0";"2";"3"
"Peru";"2014";"0";"0";"1";"1"
"Peru";"2017";"1";"0";"0";"1"
"St. Kitts & Nevis";"1998";"1";"0";"0";"1"
"St. Vincent & Grenadines";"1998";"1";"0";"0";"1"
"St. Vincent & Grenadines";"2019";"0";"0";"1";"1"
"Trinidad & Tobago";"1997";"1";"0";"0";"1"
"Trinidad & Tobago";"2001";"1";"0";"0";"1"
"Trinidad & Tobago";"2005";"0";"1";"0";"1"
"Trinidad & Tobago";"2010";"0";"0";"1";"1"
"Trinidad & Tobago";"2022";"0";"0";"1";"1"
"Uruguay";"1919";"1";"0";"0";"1"
"Uruguay";"1993";"0";"0";"1";"1"
"Uruguay";"1996";"0";"0";"1";"1"
"Uruguay";"2005";"0";"1";"0";"1"
"Uruguay";"2006";"0";"1";"2";"3"
"Uruguay";"2007";"0";"0";"2";"2"
"Uruguay";"2008";"0";"1";"0";"1"
"Uruguay";"2010";"0";"0";"2";"2"
"Uruguay";"2011";"0";"0";"1";"1"
"Uruguay";"2012";"0";"0";"3";"3"
"Uruguay";"2013";"0";"0";"1";"1"
"Uruguay";"2022";"0";"0";"1";"1"
"Venezuela";"2003";"0";"0";"1";"1"
"Venezuela";"2011";"1";"0";"0";"1"
"Venezuela";"2012";"0";"0";"1";"1"
"Venezuela";"2016";"0";"0";"1";"1"
